Acceptance ID,Category,Requirement IDs,Scenario / Input,Expected Result,Automated Test,Release Blocker,Gate
ACC-TOK-001,Token,PB-TOKEN-001,Generate 100k entity tokens,Every token matches exact grammar; IDs unique; no source/job/client text embedded,token/format-uniqueness.test.ts,YES,B
ACC-TOK-002,Token,PB-TOKEN-002,Same canonical value repeated with aliases in one job,Same Entity token used according to explicit alias/canonicalization rules,token/same-job-consistency.test.ts,YES,C
ACC-TOK-003,Token,PB-TOKEN-003,Same source values in two jobs,Tokens and canonical fingerprints differ across jobs,token/cross-job-unlinkability.test.ts,YES,B
ACC-TOK-004,Token,PB-TOKEN-005,Phone appears in multiple surface formats,One entity token; encrypted occurrences preserve surface and effective handling; result restore uses preferred display,token/surface-preferred-display.test.ts,YES,C
ACC-TOK-005,Token,PB-TOKEN-006,Multiple adjacent and nested accepted spans,Replacement from end yields exact sanitized output with valid offsets,token/reverse-replacement.test.ts,YES,C
ACC-TOK-006,Token,PB-TOKEN-006,Source span text/hash altered before tokenization,Operation fails PB-FILE-004; no output or mapping mutation,token/span-hash-guard.test.ts,YES,B
ACC-TOK-007,Token,PB-IMPORT-003,Flip one token ID/tag/type character,Verifier rejects token without revealing whether ID exists,token/forgery.test.ts,YES,B
ACC-TOK-008,Token,PB-IMPORT-003,Use valid token from another job,Verifier rejects whole result package,token/cross-job-reject.test.ts,YES,B
ACC-TOK-009,Crypto,PB-CRYPTO-003,Derive domain keys from fixed JRK/client/job,All keys match vector and differ from each other,crypto/hkdf-domain.test.ts,YES,B
ACC-TOK-010,Crypto,PB-CRYPTO-004,Generate many envelopes and inspect IVs,No IV reuse; each envelope authenticates exact AAD,crypto/iv-uniqueness.test.ts,YES,B
ACC-TOK-011,Crypto,PB-CRYPTO-004,"Tamper ciphertext, tag, IV and each AAD component",Every mutation fails authentication and leaves target unchanged,crypto/envelope-tamper.test.ts,YES,B
ACC-TOK-012,Crypto,PB-CRYPTO-002,"Passphrase length 11,12,256,257 code points and no normalization pairs",Only 12–256 accepted; visually equivalent Unicode remains byte-distinct,crypto/passphrase-policy.test.ts,YES,B
ACC-TOK-013,Mapping,"PB-TOKEN-002,PB-STORE-002",Persist/reload mapping and occurrence data,Authenticated encrypted records reproduce tokens/decisions exactly,mapping/persistence-roundtrip.test.ts,YES,C
ACC-TOK-014,Handling,PB-DET-010,Accepted SECRET or credit card attempts TOKENIZE,"API rejects action; only REDACT, EXCLUDE or BLOCK permitted",handling/no-reversible-secret.test.ts,YES,B
ACC-TOK-015,Mapping,PB-BACKUP-002,Delete/missing mapping or job key,System never creates replacement key/map under same job; restore blocked with precise safe error,mapping/no-silent-recreate.test.ts,YES,B
ACC-EXP-001,Shadow,PB-MD-002,"Golden Markdown with spacing, comments, YAML, CRLF/BOM",Output differs only at approved spans/path references; byte properties preserved,golden/markdown-preservation.test.ts,YES,C
ACC-EXP-002,Shadow,"PB-MD-003,PB-MD-004",Frontmatter/code candidates with accepted policies,Values change per decision; keys/variables not auto-renamed; secrets block/redact,golden/frontmatter-code.test.ts,YES,C
ACC-EXP-003,Shadow,PB-SHADOW-003,Crash/cancel at each build phase,No partial final Shadow appears; staging cleaned or recoverable,recovery/shadow-atomic.test.ts,YES,C
ACC-EXP-004,Shadow,"PB-MD-005,PB-MD-006",Rename sensitive paths with wikilinks/headings/block refs,All links resolve inside Shadow; original paths absent from export,golden/wikilink-pathmap.test.ts,YES,C
ACC-EXP-005,Shadow,PB-SHADOW-002,Scan built Shadow for secure filenames/canary raw values,No mapping/dictionary/key/audit/original canary or .obsidian metadata exists,security/shadow-content-allowlist.test.ts,YES,B
ACC-EXP-006,Residual,PB-EXPORT-001,Sanitized file contains a 0.35 residual candidate,scanResidualAll returns it regardless of UI threshold,export/residual-all.test.ts,YES,B
ACC-EXP-007,Residual,PB-EXPORT-002,Residual pending or accepted without reason,Export disabled; only reviewed reasoned residual can proceed,export/residual-review-gate.test.ts,YES,B
ACC-EXP-008,Export Guard,PB-EXPORT-003,Each precondition independently fails,Export disabled and lists every failure reason with error code,export/guard-matrix.test.ts,YES,C
ACC-EXP-009,Safe Package,"PB-EXPORT-004,PB-EXPORT-005",Build package with malicious/odd paths,All ZIP entries normalized relative; zip-slip/symlink entries impossible,security/safe-zip.test.ts,YES,B
ACC-EXP-010,Safe Package,PB-EXPORT-004,Inspect package manifest/index/notes,"No Mapping, dictionary, original path/value, key or audit content",security/package-content.test.ts,YES,B
ACC-EXP-011,Safe Package,PB-EXPORT-005,Corrupt one file after package build,Self-validation or checksum validation fails; job not marked EXPORTED,export/package-self-validate.test.ts,YES,C
ACC-EXP-012,Safe Package,PB-EXPORT-005,Package exceeds 2GB estimate/actual,Build stops safely with explicit error; no partial final package,export/package-size-limit.test.ts,YES,C
ACC-IMP-001,Import,"PB-IMPORT-001,PB-IMPORT-002",Valid UTF-8 JSON matching exact supported schema,Package validates and enters RESULT_IMPORTED,import/valid-result.test.ts,YES,C
ACC-IMP-002,Import,PB-IMPORT-003,Malformed token-like delimiters or unsupported schema fields,Whole package rejects; no partial findings persisted,import/malformed-token-strict.test.ts,YES,B
ACC-IMP-003,Import,PB-IMPORT-003,Unknown or forged token in one finding,Whole package rejects with generic PB-IMPORT-003,import/unknown-forged-token.test.ts,YES,B
ACC-IMP-004,Import,PB-IMPORT-003,Valid token from another job or source package hash mismatch,Whole package rejects,import/cross-job-package.test.ts,YES,B
ACC-IMP-005,Import,PB-IMPORT-003,"Unknown document ID, path traversal strings, duplicate finding IDs",Whole package rejects before restore,import/references-paths.test.ts,YES,B
ACC-IMP-006,Import,PB-IMPORT-004,"Summary includes script, HTML event, obsidian URI and markdown link",UI renders inert plain text; generated Markdown escapes unsafe constructs,security/result-rendering.test.ts,YES,B
ACC-IMP-007,Restore,"PB-RESTORE-001,PB-RESTORE-002",Restore valid findings with repeated tokens,Preferred display restored; new sequence Result Vault created; original/Shadow unchanged,restore/end-to-end.test.ts,YES,C
ACC-IMP-008,Import,PB-IMPORT-003,Oversized/deep/huge-count JSON,Rejected within resource limits before dangerous allocation; store unchanged,fuzz/result-dos.test.ts,YES,B
ACC-OPS-001,Audit,"PB-AUDIT-001,PB-AUDIT-003",Run complete workflow with canary raw values,Encrypted audit contains allowed metadata only; no raw canary after decrypting audit structure,audit/no-raw-values.test.ts,YES,B
ACC-OPS-002,Audit,PB-AUDIT-002,Delete/reorder/modify an audit event,Chain verification fails and job enters BLOCKED,audit/hash-chain.test.ts,YES,B
ACC-OPS-003,Recovery,"PB-TXN-002,PB-TXN-003",Crash at every journal phase and stale lock conditions,Default rollback restores last committed state; verified roll-forward only where allowed,recovery/journal-phase-matrix.test.ts,YES,C
ACC-OPS-004,Migration,"PB-MIG-001,PB-MIG-002",Fail migration before/after swap and try downgrade,Old data remains readable; recovery snapshot works; unsupported downgrade never overwrites,migration/copy-on-write.test.ts,YES,B
ACC-OPS-005,Backup/Delete,"PB-BACKUP-001,PB-DELETE-001","Create/import backup, wrong password, corrupt ZIP, delete job secrets",Valid backup roundtrips; invalid writes nothing; deletion never touches source; no silent key recreation,backup/job-backup.test.ts,YES,C
ACC-OPS-006,Release,"PB-NET-002,PB-TEST-004",Build release from tagged commit on clean runner,"Bundle, manifest, styles, source commit, checksum and SBOM correspond; all 105 acceptance pass",release/reproducible-artifacts.test.mjs,YES,D
